,precision,recall,f1-score,support,batch_size,model
0,0.7298387096774194,0.5084269662921348,0.5993377483443708,356.0,8,roberta
1,0.49113475177304966,0.8393939393939394,0.6196868008948545,330.0,8,roberta
2,0.0,0.0,0.0,25.0,8,roberta
3,0.5111111111111111,0.2804878048780488,0.3622047244094488,82.0,8,roberta
4,0.5,0.09090909090909091,0.15384615384615385,22.0,8,roberta
5,0.3333333333333333,0.03571428571428571,0.06451612903225806,28.0,8,roberta
6,0.3333333333333333,0.17777777777777778,0.23188405797101452,45.0,8,roberta
weighted avg,0.5620962760976488,0.5540540540540541,0.521607567245143,888.0,8,roberta
0,0.7471264367816092,0.547752808988764,0.6320907617504051,356.0,8,roberta
1,0.5954773869346733,0.7181818181818181,0.651098901098901,330.0,8,roberta
2,0.6666666666666666,0.08,0.14285714285714285,25.0,8,roberta
3,0.39622641509433965,0.5121951219512195,0.44680851063829785,82.0,8,roberta
4,0.25,0.09090909090909091,0.13333333333333333,22.0,8,roberta
5,0.20238095238095238,0.6071428571428571,0.30357142857142855,28.0,8,roberta
6,0.25,0.15555555555555556,0.1917808219178082,45.0,8,roberta
weighted avg,0.6014171717947795,0.5653153153153153,0.5632434068797132,888.0,8,roberta
0,0.6957831325301205,0.648876404494382,0.6715116279069767,356.0,8,roberta
1,0.6445086705202312,0.6757575757575758,0.6597633136094675,330.0,8,roberta
2,0.6,0.12,0.19999999999999998,25.0,8,roberta
3,0.4675324675324675,0.43902439024390244,0.4528301886792453,82.0,8,roberta
4,0.2857142857142857,0.36363636363636365,0.32,22.0,8,roberta
5,0.2777777777777778,0.17857142857142858,0.21739130434782608,28.0,8,roberta
6,0.3170731707317073,0.5777777777777777,0.40944881889763773,45.0,8,roberta
weighted avg,0.610423540018559,0.5990990990990991,0.5973696642678367,888.0,8,roberta
0,0.7763157894736842,0.6629213483146067,0.7151515151515152,356.0,8,roberta
1,0.6164705882352941,0.793939393939394,0.6940397350993377,330.0,8,roberta
2,1.0,0.04,0.07692307692307693,25.0,8,roberta
3,0.4626865671641791,0.3780487804878049,0.4161073825503356,82.0,8,roberta
4,0.5,0.18181818181818182,0.26666666666666666,22.0,8,roberta
5,0.35714285714285715,0.35714285714285715,0.35714285714285715,28.0,8,roberta
6,0.36363636363636365,0.4444444444444444,0.39999999999999997,45.0,8,roberta
weighted avg,0.6532743806772272,0.6351351351351351,0.6233531542067478,888.0,8,roberta
0,0.7986111111111112,0.6460674157303371,0.7142857142857142,356.0,8,roberta
1,0.6234413965087282,0.7575757575757576,0.6839945280437757,330.0,8,roberta
2,0.5,0.16,0.24242424242424243,25.0,8,roberta
3,0.4,0.5609756097560976,0.467005076142132,82.0,8,roberta
4,0.5,0.18181818181818182,0.26666666666666666,22.0,8,roberta
5,0.3055555555555556,0.39285714285714285,0.34375000000000006,28.0,8,roberta
6,0.34375,0.24444444444444444,0.2857142857142857,45.0,8,roberta
weighted avg,0.6423035157195849,0.6261261261261262,0.6224186265408004,888.0,8,roberta
0,0.8254545454545454,0.6376404494382022,0.7194928684627575,356.0,8,roberta
1,0.6100917431192661,0.806060606060606,0.6945169712793734,330.0,8,roberta
2,0.625,0.2,0.30303030303030304,25.0,8,roberta
3,0.4666666666666667,0.5121951219512195,0.48837209302325585,82.0,8,roberta
4,0.6363636363636364,0.3181818181818182,0.4242424242424242,22.0,8,roberta
5,0.391304347826087,0.32142857142857145,0.35294117647058826,28.0,8,roberta
6,0.4,0.4,0.4000000000000001,45.0,8,roberta
weighted avg,0.6667120290731677,0.6463963963963963,0.6420811004201682,888.0,8,roberta
0,0.7929824561403509,0.6348314606741573,0.705148205928237,356.0,8,roberta
1,0.605568445475638,0.7909090909090909,0.685939553219448,330.0,8,roberta
2,0.5714285714285714,0.16,0.25,25.0,8,roberta
3,0.48,0.43902439024390244,0.4585987261146497,82.0,8,roberta
4,0.6153846153846154,0.36363636363636365,0.4571428571428572,22.0,8,roberta
5,0.2972972972972973,0.39285714285714285,0.3384615384615385,28.0,8,roberta
6,0.425,0.37777777777777777,0.3999999999999999,45.0,8,roberta
weighted avg,0.6495189656998036,0.634009009009009,0.6292589812481276,888.0,8,roberta
0,0.7870370370370371,0.7162921348314607,0.7500000000000001,356.0,8,roberta
1,0.6657824933687002,0.7606060606060606,0.71004243281471,330.0,8,roberta
2,0.5714285714285714,0.16,0.25,25.0,8,roberta
3,0.4823529411764706,0.5,0.49101796407185627,82.0,8,roberta
4,0.6923076923076923,0.4090909090909091,0.5142857142857142,22.0,8,roberta
5,0.36666666666666664,0.39285714285714285,0.3793103448275862,28.0,8,roberta
6,0.40384615384615385,0.4666666666666667,0.43298969072164945,45.0,8,roberta
weighted avg,0.6727506489634617,0.6666666666666666,0.6635664271786926,888.0,8,roberta
0,0.7148399612027158,0.5634556574923547,0.6301838392475416,1308.0,8,roberta
1,0.5838627700127065,0.68993993993994,0.6324845147969719,1332.0,8,roberta
2,0.9411764705882353,0.10126582278481013,0.18285714285714286,158.0,8,roberta
3,0.39950372208436724,0.49691358024691357,0.4429160935350756,324.0,8,roberta
4,0.3333333333333333,0.1282051282051282,0.18518518518518517,78.0,8,roberta
5,0.22408026755852842,0.6320754716981132,0.3308641975308642,106.0,8,roberta
6,0.32934131736526945,0.2558139534883721,0.28795811518324604,215.0,8,roberta
weighted avg,0.5996653958571685,0.5580800908832718,0.5539827101588349,3521.0,8,roberta
