,precision,recall,f1-score,support,batch_size,model
0,0.7113884555382215,0.6983154670750383,0.7047913446676971,653.0,4,roberta
1,0.45254237288135596,0.7235772357723578,0.556830031282586,369.0,4,roberta
2,0.0,0.0,0.0,38.0,4,roberta
3,0.0,0.0,0.0,91.0,4,roberta
4,0.0,0.0,0.0,21.0,4,roberta
5,0.0,0.0,0.0,28.0,4,roberta
6,0.3,0.07317073170731707,0.11764705882352941,41.0,4,roberta
weighted avg,0.5187951628200475,0.5850120870265915,0.5403082667389567,1241.0,4,roberta
0,0.8390022675736961,0.5666156202143952,0.676416819012797,653.0,4,roberta
1,0.4707646176911544,0.8509485094850948,0.6061776061776062,369.0,4,roberta
2,0.0,0.0,0.0,38.0,4,roberta
3,0.7037037037037037,0.4175824175824176,0.5241379310344827,91.0,4,roberta
4,0.0,0.0,0.0,21.0,4,roberta
5,0.24444444444444444,0.39285714285714285,0.3013698630136986,28.0,4,roberta
6,0.35294117647058826,0.2926829268292683,0.32,41.0,4,roberta
weighted avg,0.6502277956248471,0.6003223207091055,0.5919698850793027,1241.0,4,roberta
0,0.7929373996789727,0.7565084226646248,0.7742946708463949,653.0,4,roberta
1,0.5822784810126582,0.7479674796747967,0.6548042704626333,369.0,4,roberta
2,0.0,0.0,0.0,38.0,4,roberta
3,0.6219512195121951,0.5604395604395604,0.5895953757225434,91.0,4,roberta
4,0.45,0.42857142857142855,0.4390243902439024,21.0,4,roberta
5,0.4444444444444444,0.14285714285714285,0.21621621621621623,28.0,4,roberta
6,0.24242424242424243,0.1951219512195122,0.2162162162162162,41.0,4,roberta
weighted avg,0.6616279458851638,0.6784850926672039,0.6648096745916197,1241.0,4,roberta
0,0.7645390070921986,0.8254211332312404,0.7938144329896906,653.0,4,roberta
1,0.6569148936170213,0.6693766937669376,0.6630872483221476,369.0,4,roberta
2,0.0,0.0,0.0,38.0,4,roberta
3,0.5975609756097561,0.5384615384615384,0.5664739884393063,91.0,4,roberta
4,0.5,0.38095238095238093,0.4324324324324324,21.0,4,roberta
5,0.5384615384615384,0.25,0.3414634146341463,28.0,4,roberta
6,0.1836734693877551,0.21951219512195122,0.2,41.0,4,roberta
weighted avg,0.6681153517149037,0.6921837228041902,0.6780267598807047,1241.0,4,roberta
0,0.85625,0.6279602750190986,0.7245482591449977,2618.0,4,roberta
1,0.46750981247274315,0.8048048048048048,0.5914482758620689,1332.0,4,roberta
2,0.0,0.0,0.0,158.0,4,roberta
3,0.5,0.30246913580246915,0.3769230769230769,324.0,4,roberta
4,0.0,0.0,0.0,78.0,4,roberta
5,0.2412280701754386,0.5188679245283019,0.32934131736526945,106.0,4,roberta
6,0.31958762886597936,0.28837209302325584,0.30317848410757947,215.0,4,roberta
weighted avg,0.6459671053319138,0.6067066859863383,0.6017166376602784,4831.0,4,roberta
