,precision,recall,f1-score,support,batch_size,model
0,0.6644649933949802,0.7702909647779479,0.7134751773049646,653.0,8,roberta
1,0.4628099173553719,0.6070460704607046,0.5252051582649473,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.0,0.0,0.0,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,0.0,0.0,0.0,41.0,8,roberta
weighted avg,0.4872461725955312,0.5858178887993554,0.531587424802504,1241.0,8,roberta
0,0.8444444444444444,0.5819295558958653,0.6890299184043518,653.0,8,roberta
1,0.48911222780569513,0.7913279132791328,0.6045548654244307,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.5384615384615384,0.5384615384615384,0.5384615384615384,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.22807017543859648,0.4642857142857143,0.3058823529411765,28.0,8,roberta
6,0.1956521739130435,0.21951219512195122,0.20689655172413796,41.0,8,roberta
weighted avg,0.6408640921234804,0.5987107171635777,0.5955396829675257,1241.0,8,roberta
0,0.7633587786259542,0.7656967840735069,0.764525993883792,653.0,8,roberta
1,0.5930521091811415,0.6476964769647696,0.6191709844559586,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.5728155339805825,0.6483516483516484,0.6082474226804123,91.0,8,roberta
4,1.0,0.09523809523809523,0.17391304347826084,21.0,8,roberta
5,0.1875,0.21428571428571427,0.19999999999999998,28.0,8,roberta
6,0.2391304347826087,0.2682926829268293,0.25287356321839083,41.0,8,roberta
weighted avg,0.649065328081313,0.6583400483481063,0.6468010255755681,1241.0,8,roberta
0,0.78125,0.7656967840735069,0.7733952049497294,653.0,8,roberta
1,0.5952941176470589,0.6856368563685636,0.6372795969773299,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.5876288659793815,0.6263736263736264,0.6063829787234042,91.0,8,roberta
4,0.6666666666666666,0.09523809523809523,0.16666666666666666,21.0,8,roberta
5,0.20689655172413793,0.21428571428571427,0.21052631578947367,28.0,8,roberta
6,0.2553191489361702,0.2926829268292683,0.2727272727272727,41.0,8,roberta
weighted avg,0.6555642181873871,0.6688154713940371,0.6574864191817577,1241.0,8,roberta
0,0.773343097766386,0.8067226890756303,0.7896803140773977,2618.0,8,roberta
1,0.5590778097982709,0.5825825825825826,0.5705882352941176,1332.0,8,roberta
2,0.0,0.0,0.0,158.0,8,roberta
3,0.4263322884012539,0.41975308641975306,0.4230171073094868,324.0,8,roberta
4,0.5833333333333334,0.1794871794871795,0.2745098039215686,78.0,8,roberta
5,0.3227848101265823,0.4811320754716981,0.3863636363636364,106.0,8,roberta
6,0.33175355450236965,0.32558139534883723,0.3286384976525822,215.0,8,roberta
weighted avg,0.6330941291941894,0.6539018836679776,0.6411690584952181,4831.0,8,roberta
