,precision,recall,f1-score,support,batch_size,model
0,0.6905710491367862,0.7963246554364471,0.7396870554765291,653.0,8,roberta
1,0.5308641975308642,0.5826558265582655,0.5555555555555557,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.6428571428571429,0.3956043956043956,0.48979591836734687,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,0.25925925925925924,0.17073170731707318,0.2058823529411765,41.0,8,roberta
weighted avg,0.576922976313328,0.6269137792103142,0.5971218793458424,1241.0,8,roberta
0,0.8304761904761905,0.667687595712098,0.7402376910016978,653.0,8,roberta
1,0.4941569282136895,0.8021680216802168,0.6115702479338843,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.59375,0.4175824175824176,0.49032258064516127,91.0,8,roberta
4,0.0,0.0,0.0,21.0,8,roberta
5,0.10526315789473684,0.07142857142857142,0.0851063829787234,28.0,8,roberta
6,0.35294117647058826,0.2926829268292683,0.32,41.0,8,roberta
weighted avg,0.6414940093055201,0.6317485898468976,0.6197961057806817,1241.0,8,roberta
0,0.7424460431654676,0.7901990811638591,0.7655786350148367,653.0,8,roberta
1,0.5955678670360111,0.5826558265582655,0.5890410958904109,369.0,8,roberta
2,0.0,0.0,0.0,38.0,8,roberta
3,0.46153846153846156,0.46153846153846156,0.46153846153846156,91.0,8,roberta
4,0.6,0.14285714285714285,0.23076923076923073,21.0,8,roberta
5,0.3125,0.35714285714285715,0.3333333333333333,28.0,8,roberta
6,0.3333333333333333,0.4634146341463415,0.38775510204081637,41.0,8,roberta
weighted avg,0.6298134373811484,0.6486704270749396,0.6360648343363503,1241.0,8,roberta
0,0.6974169741697417,0.8683001531393568,0.7735334242837653,653.0,8,roberta
1,0.6816479400749064,0.4932249322493225,0.5723270440251572,369.0,8,roberta
2,1.0,0.02631578947368421,0.05128205128205127,38.0,8,roberta
3,0.4845360824742268,0.5164835164835165,0.5,91.0,8,roberta
4,0.37037037037037035,0.47619047619047616,0.4166666666666667,21.0,8,roberta
5,0.3,0.21428571428571427,0.25,28.0,8,roberta
6,0.625,0.24390243902439024,0.3508771929824561,41.0,8,roberta
weighted avg,0.669489875345217,0.6631748589846898,0.6397185239029656,1241.0,8,roberta
0,0.8100172711571675,0.7182235834609495,0.7613636363636365,653.0,8,roberta
1,0.5944700460829493,0.6991869918699187,0.6425902864259029,369.0,8,roberta
2,1.0,0.02631578947368421,0.05128205128205127,38.0,8,roberta
3,0.36496350364963503,0.5494505494505495,0.4385964912280702,91.0,8,roberta
4,0.5,0.2857142857142857,0.36363636363636365,21.0,8,roberta
5,0.5,0.10714285714285714,0.17647058823529413,28.0,8,roberta
6,0.2222222222222222,0.3902439024390244,0.2831858407079646,41.0,8,roberta
weighted avg,0.6874484407844211,0.6470588235294118,0.6449117070612922,1241.0,8,roberta
0,0.7931034482758621,0.774885145482389,0.7838884585592563,653.0,8,roberta
1,0.6059907834101382,0.7127371273712737,0.6550435865504358,369.0,8,roberta
2,1.0,0.23684210526315788,0.38297872340425526,38.0,8,roberta
3,0.5753424657534246,0.46153846153846156,0.5121951219512195,91.0,8,roberta
4,0.8571428571428571,0.2857142857142857,0.42857142857142855,21.0,8,roberta
5,0.38461538461538464,0.17857142857142858,0.24390243902439027,28.0,8,roberta
6,0.31343283582089554,0.5121951219512195,0.3888888888888889,41.0,8,roberta
weighted avg,0.703854385353689,0.6865431103948428,0.6821328825143878,1241.0,8,roberta
0,0.7815750371471025,0.8055130168453293,0.7933634992458521,653.0,8,roberta
1,0.6292682926829268,0.6991869918699187,0.662387676508344,369.0,8,roberta
2,0.6666666666666666,0.15789473684210525,0.25531914893617025,38.0,8,roberta
3,0.5432098765432098,0.4835164835164835,0.5116279069767442,91.0,8,roberta
4,0.6666666666666666,0.2857142857142857,0.4,21.0,8,roberta
5,0.4,0.21428571428571427,0.27906976744186046,28.0,8,roberta
6,0.4090909090909091,0.43902439024390244,0.42352941176470593,41.0,8,roberta
weighted avg,0.6924308288707097,0.6962127316680097,0.6868060791332019,1241.0,8,roberta
0,0.7847533632286996,0.8039816232771823,0.794251134644478,653.0,8,roberta
1,0.6334164588528678,0.6883468834688347,0.6597402597402597,369.0,8,roberta
2,0.8,0.21052631578947367,0.3333333333333333,38.0,8,roberta
3,0.5056179775280899,0.4945054945054945,0.5,91.0,8,roberta
4,0.75,0.2857142857142857,0.4137931034482759,21.0,8,roberta
5,0.5,0.25,0.3333333333333333,28.0,8,roberta
6,0.36,0.43902439024390244,0.3956043956043956,41.0,8,roberta
weighted avg,0.6987073774859832,0.6954069298952458,0.6885572781298904,1241.0,8,roberta
