,precision,recall,f1-score,support,batch_size,model
0,0.6171428571428571,0.8269525267993875,0.706806282722513,653.0,16,roberta
1,0.3958333333333333,0.3604336043360434,0.3773049645390071,369.0,16,roberta
2,0.0,0.0,0.0,38.0,16,roberta
3,0.4827586206896552,0.15384615384615385,0.2333333333333334,91.0,16,roberta
4,0.0,0.0,0.0,21.0,16,roberta
5,0.0,0.0,0.0,28.0,16,roberta
6,0.0,0.0,0.0,41.0,16,roberta
weighted avg,0.4778306367421792,0.5535858178887993,0.5012114164915615,1241.0,16,roberta
0,0.7807486631016043,0.6707503828483921,0.7215815485996705,653.0,16,roberta
1,0.5229885057471264,0.7398373983739838,0.6127946127946128,369.0,16,roberta
2,0.0,0.0,0.0,38.0,16,roberta
3,0.5164835164835165,0.5164835164835165,0.5164835164835165,91.0,16,roberta
4,1.0,0.047619047619047616,0.0909090909090909,21.0,16,roberta
5,0.24444444444444444,0.39285714285714285,0.3013698630136986,28.0,16,roberta
6,0.2857142857142857,0.14634146341463414,0.1935483870967742,41.0,16,roberta
weighted avg,0.6360760401166539,0.6253021756647864,0.614501929332183,1241.0,16,roberta
0,0.7873754152823921,0.7258805513016845,0.755378486055777,653.0,16,roberta
1,0.5393700787401575,0.7425474254742548,0.6248574686431015,369.0,16,roberta
2,0.0,0.0,0.0,38.0,16,roberta
3,0.6027397260273972,0.4835164835164835,0.5365853658536586,91.0,16,roberta
4,0.4,0.09523809523809523,0.15384615384615385,21.0,16,roberta
5,0.26666666666666666,0.2857142857142857,0.2758620689655172,28.0,16,roberta
6,0.2608695652173913,0.14634146341463414,0.1875,41.0,16,roberta
weighted avg,0.6402863329118397,0.6510878323932313,0.6376359651718079,1241.0,16,roberta
0,0.7458646616541353,0.7595712098009189,0.7526555386949924,653.0,16,roberta
1,0.5939849624060151,0.6422764227642277,0.6171875000000001,369.0,16,roberta
2,0.0,0.0,0.0,38.0,16,roberta
3,0.5346534653465347,0.5934065934065934,0.5625,91.0,16,roberta
4,0.4166666666666667,0.23809523809523808,0.30303030303030304,21.0,16,roberta
5,0.25,0.42857142857142855,0.3157894736842105,28.0,16,roberta
6,0.4375,0.17073170731707318,0.2456140350877193,41.0,16,roberta
weighted avg,0.6354319424129772,0.6535052377115229,0.6411681477302343,1241.0,16,roberta
0,0.7856,0.7519142419601837,0.7683881064162754,653.0,16,roberta
1,0.5960591133004927,0.6558265582655827,0.6245161290322581,369.0,16,roberta
2,0.0,0.0,0.0,38.0,16,roberta
3,0.44881889763779526,0.6263736263736264,0.5229357798165136,91.0,16,roberta
4,0.6666666666666666,0.19047619047619047,0.2962962962962963,21.0,16,roberta
5,0.25925925925925924,0.25,0.2545454545454545,28.0,16,roberta
6,0.18,0.21951219512195122,0.1978021978021978,41.0,16,roberta
weighted avg,0.6465949973829013,0.6526994359387591,0.6456490137996929,1241.0,16,roberta
0,0.7875210792580101,0.7151607963246555,0.7495987158908507,653.0,16,roberta
1,0.5642105263157895,0.7262872628726287,0.6350710900473934,369.0,16,roberta
2,0.0,0.0,0.0,38.0,16,roberta
3,0.6190476190476191,0.5714285714285714,0.5942857142857143,91.0,16,roberta
4,0.2962962962962963,0.38095238095238093,0.3333333333333333,21.0,16,roberta
5,0.3157894736842105,0.21428571428571427,0.2553191489361702,28.0,16,roberta
6,0.21428571428571427,0.21951219512195122,0.21686746987951805,41.0,16,roberta
weighted avg,0.6467593264064744,0.6526994359387591,0.6454066850439054,1241.0,16,roberta
0,0.7797147385103012,0.7534456355283308,0.7663551401869159,653.0,16,roberta
1,0.5959595959595959,0.6395663956639567,0.6169934640522875,369.0,16,roberta
2,0.22727272727272727,0.13157894736842105,0.16666666666666666,38.0,16,roberta
3,0.6,0.5274725274725275,0.5614035087719298,91.0,16,roberta
4,0.42857142857142855,0.2857142857142857,0.34285714285714286,21.0,16,roberta
5,0.27586206896551724,0.2857142857142857,0.28070175438596495,28.0,16,roberta
6,0.15942028985507245,0.2682926829268293,0.19999999999999998,41.0,16,roberta
weighted avg,0.6571793300626703,0.6494762288477035,0.6517173219433813,1241.0,16,roberta
0,0.757754800590842,0.7856049004594181,0.7714285714285714,653.0,16,roberta
1,0.6212121212121212,0.6666666666666666,0.6431372549019608,369.0,16,roberta
2,0.3333333333333333,0.07894736842105263,0.12765957446808512,38.0,16,roberta
3,0.5934065934065934,0.5934065934065934,0.5934065934065934,91.0,16,roberta
4,0.42857142857142855,0.14285714285714285,0.21428571428571427,21.0,16,roberta
5,0.2647058823529412,0.32142857142857145,0.2903225806451613,28.0,16,roberta
6,0.25925925925925924,0.17073170731707318,0.2058823529411765,41.0,16,roberta
weighted avg,0.6589437699558994,0.6728444802578566,0.6615485711201616,1241.0,16,roberta
0,0.7916666666666666,0.7274119448698315,0.7581803671189146,653.0,16,roberta
1,0.581140350877193,0.7181571815718157,0.6424242424242425,369.0,16,roberta
2,0.4444444444444444,0.10526315789473684,0.1702127659574468,38.0,16,roberta
3,0.5934065934065934,0.5934065934065934,0.5934065934065934,91.0,16,roberta
4,0.36363636363636365,0.38095238095238093,0.37209302325581395,21.0,16,roberta
5,0.37037037037037035,0.35714285714285715,0.36363636363636365,28.0,16,roberta
6,0.19444444444444445,0.17073170731707318,0.18181818181818182,41.0,16,roberta
weighted avg,0.6674189910756345,0.6631748589846898,0.659198007586072,1241.0,16,roberta
0,0.7578947368421053,0.7718223583460949,0.7647951441578149,653.0,16,roberta
1,0.5876777251184834,0.6720867208672087,0.6270543615676359,369.0,16,roberta
2,0.3333333333333333,0.13157894736842105,0.18867924528301885,38.0,16,roberta
3,0.7076923076923077,0.5054945054945055,0.5897435897435896,91.0,16,roberta
4,0.5,0.23809523809523808,0.3225806451612903,21.0,16,roberta
5,0.3333333333333333,0.35714285714285715,0.3448275862068965,28.0,16,roberta
6,0.17647058823529413,0.14634146341463414,0.16,41.0,16,roberta
weighted avg,0.6574485397616939,0.6639806607574537,0.656422346900171,1241.0,16,roberta
0,0.7660550458715596,0.7672281776416539,0.7666411629686304,653.0,16,roberta
1,0.5995203836930456,0.6775067750677507,0.6361323155216284,369.0,16,roberta
2,0.5,0.13157894736842105,0.20833333333333334,38.0,16,roberta
3,0.64,0.5274725274725275,0.5783132530120482,91.0,16,roberta
4,0.4666666666666667,0.3333333333333333,0.3888888888888889,21.0,16,roberta
5,0.36363636363636365,0.42857142857142855,0.3934426229508197,28.0,16,roberta
6,0.21621621621621623,0.1951219512195122,0.20512820512820515,41.0,16,roberta
