file,id,type,role,target
ES100447.xml,5566,TIMEX3TimexLinkLink,CONTAINS,4417
ES100447.xml,5569,TIMEX3TimexLinkLink,BEFORE,4453
ES100447.xml,5592,TIMEX3TimexLinkLink,BEFORE,4317
ES100447.xml,5595,TIMEX3TimexLinkLink,CONTAINS,4540
ES100447.xml,5428,TIMEX3TimexLinkLink,CONTAINS,4557
ES100447.xml,5602,TIMEX3TimexLinkLink,CONTAINS,4585
ES100447.xml,5605,TIMEX3TimexLinkLink,CONTAINS,4621
ES100447.xml,5440,TIMEX3TimexLinkLink,CONTAINS,4604
ES100447.xml,5534,TIMEX3TimexLinkLink,CONTAINS,5290
ES100447.xml,5560,TIMEX3TimexLinkLink,ENDS-ON,5385
ES100447.xml,5404,EVENTTLINKLink,CONTAINS,4292
ES100447.xml,5576,EVENTTLINKLink,OVERLAP,4470
ES100447.xml,5579,EVENTTLINKLink,CONTAINS,4489
ES100447.xml,5586,EVENTTLINKLink,CONTAINS,4308
ES100447.xml,5410,EVENTTLINKLink,CONTAINS,4489
ES100447.xml,5416,EVENTTLINKLink,CONTAINS,4489
ES100447.xml,5422,EVENTTLINKLink,BEFORE,4557
ES100447.xml,5434,EVENTTLINKLink,CONTAINS,4585
ES100447.xml,5612,EVENTTLINKLink,BEFORE,4655
ES100447.xml,5446,EVENTTLINKLink,CONTAINS,4621
ES100447.xml,5618,EVENTTLINKLink,CONTAINS,4672
ES100447.xml,5621,EVENTTLINKLink,BEFORE,4697
ES100447.xml,5638,EVENTTLINKLink,CONTAINS,4784
ES100447.xml,5458,EVENTTLINKLink,CONTAINS,4697
ES100447.xml,5464,EVENTTLINKLink,CONTAINS,4697
ES100447.xml,5470,EVENTTLINKLink,CONTAINS,4697
ES100447.xml,5644,EVENTTLINKLink,BEFORE,4837
ES100447.xml,5628,EVENTTLINKLink,CONTAINS,4784
ES100447.xml,5631,EVENTTLINKLink,CONTAINS,4818
ES100447.xml,5650,EVENTTLINKLink,BEFORE,4892
ES100447.xml,5653,EVENTTLINKLink,CONTAINS,4854
ES100447.xml,5660,EVENTTLINKLink,BEFORE,4943
ES100447.xml,5482,EVENTTLINKLink,CONTAINS,4892
ES100447.xml,5488,EVENTTLINKLink,CONTAINS,4892
ES100447.xml,5666,EVENTTLINKLink,CONTAINS,4996
ES100447.xml,5672,EVENTTLINKLink,BEGINS-ON,4979
ES100447.xml,5675,EVENTTLINKLink,OVERLAP,5057
ES100447.xml,5678,EVENTTLINKLink,OVERLAP,5112
ES100447.xml,5681,EVENTTLINKLink,OVERLAP,5019
ES100447.xml,5684,EVENTTLINKLink,OVERLAP,5038
ES100447.xml,5687,EVENTTLINKLink,CONTAINS,5093
ES100447.xml,5500,EVENTTLINKLink,BEFORE,5074
ES100447.xml,5698,EVENTTLINKLink,CONTAINS,5148
ES100447.xml,5701,EVENTTLINKLink,CONTAINS,5203
ES100447.xml,5704,EVENTTLINKLink,CONTAINS,5129
ES100447.xml,5506,EVENTTLINKLink,CONTAINS,5184
ES100447.xml,5509,EVENTTLINKLink,CONTAINS,5165
ES100447.xml,5712,EVENTTLINKLink,BEFORE,5313
ES100447.xml,5715,EVENTTLINKLink,BEFORE,5256
ES100447.xml,5718,EVENTTLINKLink,BEFORE,5220
ES100447.xml,5516,EVENTTLINKLink,CONTAINS,5220
ES100447.xml,5522,EVENTTLINKLink,ENDS-ON,5256
ES100447.xml,5528,EVENTTLINKLink,CONTAINS,5256
ES100447.xml,5540,EVENTTLINKLink,BEFORE,5330
ES100447.xml,5546,EVENTTLINKLink,CONTAINS,5366
ES100447.xml,5549,EVENTTLINKLink,CONTAINS,5313
ES100447.xml,5552,EVENTTLINKLink,CONTAINS,4408
ES100686.xml,1991,EVENTTLINKLink,SIMULTANEOUS,1535
ES100686.xml,1994,EVENTTLINKLink,CONTAINS,1580
ES100686.xml,1997,EVENTTLINKLink,CONTAINS,1550
ES100686.xml,2000,EVENTTLINKLink,SIMULTANEOUS,1565
ES100686.xml,2003,EVENTTLINKLink,CONTAINS,1751
ES100686.xml,2006,EVENTTLINKLink,CONTAINS,1742
ES100686.xml,1954,EVENTTLINKLink,BEGINS-ON,1595
ES100686.xml,1965,EVENTTLINKLink,BEFORE,1643
ES100686.xml,1968,EVENTTLINKLink,BEGINS-ON,1595
ES100686.xml,1975,EVENTTLINKLink,CONTAINS,1658
ES100686.xml,1940,TIMEX3TimexLinkLink,BEGINS-ON,1490
ES100686.xml,1943,TIMEX3TimexLinkLink,BEGINS-ON,1475
ES100686.xml,1946,TIMEX3TimexLinkLink,CONTAINS,1505
ES100686.xml,2017,TIMEX3TimexLinkLink,CONTAINS,1595
ES100686.xml,2020,TIMEX3TimexLinkLink,BEFORE,1769
ES100686.xml,1981,TIMEX3TimexLinkLink,CONTAINS,1673
ES100686.xml,1984,TIMEX3TimexLinkLink,CONTAINS,1688
ES100526.xml,5476,TIMEX3TimexLinkLink,CONTAINS,4546
ES100526.xml,5488,TIMEX3TimexLinkLink,BEGINS-ON,4563
ES100526.xml,5491,TIMEX3TimexLinkLink,ENDS-ON,4582
ES100526.xml,5668,EVENTTLINKLink,BEFORE,4518
ES100526.xml,5464,EVENTTLINKLink,CONTAINS,4467
ES100526.xml,5470,EVENTTLINKLink,BEFORE,4484
ES100526.xml,5482,EVENTTLINKLink,BEFORE,4518
ES100526.xml,5674,EVENTTLINKLink,BEFORE,4688
ES100526.xml,5677,EVENTTLINKLink,BEFORE,4518
ES100526.xml,5510,EVENTTLINKLink,CONTAINS,4650
ES100526.xml,5513,EVENTTLINKLink,CONTAINS,4669
ES100526.xml,5516,EVENTTLINKLink,BEGINS-ON,4582
ES100526.xml,5519,EVENTTLINKLink,CONTAINS,4633
ES100526.xml,5504,EVENTTLINKLink,CONTAINS,4614
ES100526.xml,5684,EVENTTLINKLink,CONTAINS,4758
ES100526.xml,5687,EVENTTLINKLink,CONTAINS,4722
ES100526.xml,5528,EVENTTLINKLink,CONTAINS,4722
ES100526.xml,5534,EVENTTLINKLink,SIMULTANEOUS,4739
ES100526.xml,5694,EVENTTLINKLink,BEFORE,4792
ES100526.xml,5540,EVENTTLINKLink,CONTAINS,4758
ES100526.xml,5700,EVENTTLINKLink,BEFORE,4879
ES100526.xml,5703,EVENTTLINKLink,BEFORE,4843
ES100526.xml,5546,EVENTTLINKLink,BEFORE,4826
ES100526.xml,5552,EVENTTLINKLink,BEFORE,4843
ES100526.xml,5558,EVENTTLINKLink,CONTAINS,4843
ES100526.xml,5710,EVENTTLINKLink,BEFORE,4896
ES100526.xml,5713,EVENTTLINKLink,BEFORE,4951
ES100526.xml,5564,EVENTTLINKLink,BEFORE,4913
ES100526.xml,5720,EVENTTLINKLink,CONTAINS,4985
ES100526.xml,5570,EVENTTLINKLink,CONTAINS,4951
ES100526.xml,5726,EVENTTLINKLink,CONTAINS,5019
ES100526.xml,5729,EVENTTLINKLink,CONTAINS,5072
ES100526.xml,5576,EVENTTLINKLink,BEFORE,5019
ES100526.xml,5582,EVENTTLINKLink,CONTAINS,5019
ES100526.xml,5588,EVENTTLINKLink,CONTAINS,5072
ES100526.xml,5736,EVENTTLINKLink,CONTAINS,5089
ES100526.xml,5739,EVENTTLINKLink,CONTAINS,5108
ES100526.xml,5746,EVENTTLINKLink,BEFORE,5125
ES100526.xml,5749,EVENTTLINKLink,BEFORE,5216
ES100526.xml,5604,EVENTTLINKLink,CONTAINS,5197
ES100526.xml,5607,EVENTTLINKLink,SIMULTANEOUS,5142
ES100526.xml,5594,EVENTTLINKLink,CONTAINS,5125
ES100526.xml,5597,EVENTTLINKLink,CONTAINS,5178
ES100526.xml,5614,EVENTTLINKLink,BEFORE,5233
ES100526.xml,5617,EVENTTLINKLink,BEFORE,5252
ES100526.xml,5624,EVENTTLINKLink,CONTAINS,5252
ES100526.xml,5756,EVENTTLINKLink,CONTAINS,5216
ES100526.xml,5759,EVENTTLINKLink,CONTAINS,5305
ES100526.xml,5766,EVENTTLINKLink,BEFORE,5371
ES100526.xml,5636,EVENTTLINKLink,ENDS-ON,5305
ES100526.xml,5642,EVENTTLINKLink,CONTAINS,5305
ES100526.xml,5648,EVENTTLINKLink,CONTAINS,5305
ES100526.xml,5654,EVENTTLINKLink,CONTAINS,5371
ES100526.xml,5657,EVENTTLINKLink,CONTAINS,5445
ES100526.xml,5660,EVENTTLINKLink,CONTAINS,5426
ES100042.xml,8517,TIMEX3TimexLinkLink,CONTAINS,7323
ES100042.xml,8520,TIMEX3TimexLinkLink,ENDS-ON,7306
ES100042.xml,9213,TIMEX3TimexLinkLink,CONTAINS,7416
ES100042.xml,9216,TIMEX3TimexLinkLink,BEFORE,7473
ES100042.xml,9219,TIMEX3TimexLinkLink,CONTAINS,7435
ES100042.xml,9222,TIMEX3TimexLinkLink,ENDS-ON,7306
ES100042.xml,9225,TIMEX3TimexLinkLink,CONTAINS,7454
ES100042.xml,8637,TIMEX3TimexLinkLink,ENDS-ON,7619
ES100042.xml,8664,TIMEX3TimexLinkLink,CONTAINS,7727
ES100042.xml,8667,TIMEX3TimexLinkLink,ENDS-ON,7708
ES100042.xml,8821,TIMEX3TimexLinkLink,CONTAINS,8017
ES100042.xml,8988,TIMEX3TimexLinkLink,CONTAINS,8358
ES100042.xml,8994,TIMEX3TimexLinkLink,CONTAINS,8358
ES100042.xml,9000,TIMEX3TimexLinkLink,CONTAINS,8375
ES100042.xml,9003,TIMEX3TimexLinkLink,CONTAINS,8394
ES100042.xml,9010,TIMEX3TimexLinkLink,CONTAINS,8413
ES100042.xml,9013,TIMEX3TimexLinkLink,ENDS-ON,7122
ES100042.xml,9020,TIMEX3TimexLinkLink,ENDS-ON,8430
ES100042.xml,9147,TIMEX3TimexLinkLink,CONTAINS,7181
ES100042.xml,9150,TIMEX3TimexLinkLink,CONTAINS,7219
